full_date,used_in_training
2024-01-02 00:13:14,True
2024-01-02 00:28:50,True
2024-01-02 00:35:47,True
2024-01-02 01:04:55,True
2024-01-02 01:20:19,True
2024-01-02 01:39:53,True
2024-01-02 01:41:03,True
2024-01-02 02:21:33,True
2024-01-02 02:29:16,True
2024-01-02 02:30:18,True
2024-01-02 03:47:02,True
2024-01-02 03:54:56,True
2024-01-02 04:04:52,True
2024-01-02 04:07:11,True
2024-01-02 04:43:29,True
2024-01-02 04:52:59,True
2024-01-02 05:11:31,True
2024-01-02 05:20:10,True
2024-01-02 05:24:52,True
2024-01-02 06:07:56,True
2024-01-02 06:24:25,True
2024-01-02 06:31:29,True
2024-01-02 06:39:40,True
2024-01-02 06:47:40,True
2024-01-02 06:56:17,True
2024-01-02 08:04:07,True
2024-01-02 08:23:28,True
2024-01-02 08:26:05,True
2024-01-02 08:30:52,True
2024-01-02 08:59:25,True
2024-01-02 09:15:54,True
2024-01-02 09:34:38,True
2024-01-02 09:40:57,True
2024-01-02 10:43:09,True
2024-01-02 11:36:44,True
2024-01-02 11:51:02,True
2024-01-02 12:15:38,True
2024-01-02 12:55:38,True
2024-01-02 12:59:51,True
2024-01-02 13:02:05,True
2024-01-02 13:06:09,True
2024-01-02 13:39:57,True
2024-01-02 13:55:04,True
2024-01-02 14:00:16,True
2024-01-02 14:24:12,True
2024-01-02 14:32:05,True
2024-01-02 14:50:28,True
2024-01-02 14:58:59,True
2024-01-02 15:07:09,True
2024-01-02 15:17:06,True
2024-01-02 15:25:28,True
2024-01-02 15:50:57,True
2024-01-02 15:57:13,True
2024-01-02 16:25:54,True
2024-01-02 16:28:09,True
2024-01-02 16:30:10,True
2024-01-02 16:31:37,True
2024-01-02 16:32:52,True
2024-01-02 16:40:50,True
2024-01-02 16:46:51,True
2024-01-02 17:44:50,True
2024-01-02 17:56:59,True
2024-01-02 18:39:58,True
2024-01-02 18:41:01,True
2024-01-02 18:55:03,True
2024-01-02 19:01:21,True
2024-01-02 19:40:48,True
2024-01-02 20:08:36,True
2024-01-02 20:10:52,True
2024-01-02 20:11:22,True
2024-01-02 20:36:24,True
2024-01-02 20:47:50,True
2024-01-02 21:09:57,True
2024-01-02 21:17:56,True
2024-01-02 21:32:21,True
2024-01-02 21:44:25,True
2024-01-02 22:06:07,True
2024-01-02 22:12:30,True
2024-01-02 22:23:20,True
2024-01-02 22:26:35,True
2024-01-02 22:34:53,True
2024-01-02 22:43:51,True
2024-01-02 22:50:58,True
2024-01-02 23:01:19,True
2024-01-02 23:04:12,True
2024-01-02 23:30:56,True
2024-01-02 23:37:29,True
2024-01-02 23:53:18,True
2024-01-02 23:59:32,True
2024-01-03 00:44:04,True
2024-01-03 00:59:17,True
2024-01-03 01:06:57,True
2024-01-03 01:18:55,True
2024-01-03 01:21:26,True
2024-01-03 02:21:30,True
2024-01-03 02:35:18,True
2024-01-03 02:39:42,True
2024-01-03 02:43:56,True
2024-01-03 02:44:43,True
2024-01-03 02:53:42,True
2024-01-03 03:01:42,True
2024-01-03 03:56:44,True
2024-01-03 04:21:29,True
2024-01-03 05:33:08,True
2024-01-03 05:33:45,True
2024-01-03 05:42:47,True
2024-01-03 05:46:35,True
2024-01-03 05:48:12,True
2024-01-03 05:55:57,True
2024-01-03 05:56:34,True
2024-01-03 06:00:35,True
2024-01-03 06:01:47,True
