sales_sk,used_in_training
100030,True
100168,True
100490,True
100552,True
100594,True
100688,True
101200,True
101235,True
101694,True
10214,True
102185,True
102528,True
102778,True
103011,True
103049,True
103204,True
103328,True
103502,True
10385,True
103889,True
104050,True
104299,True
104391,True
104935,True
104950,True
105081,True
105167,True
10579,True
106192,True
106503,True
106667,True
106884,True
106974,True
107102,True
107256,True
107321,True
10804,True
108142,True
108353,True
108610,True
108964,True
108986,True
109075,True
109469,True
11004,True
110179,True
110614,True
110740,True
1109,True
11090,True
111456,True
111525,True
111777,True
111850,True
111851,True
111933,True
112168,True
112372,True
112520,True
112799,True
112864,True
113120,True
113151,True
113276,True
113361,True
113634,True
113641,True
113926,True
113990,True
11407,True
114087,True
114328,True
11442,True
11465,True
114743,True
114881,True
115235,True
115337,True
115471,True
115710,True
116045,True
116175,True
116508,True
116762,True
116839,True
117283,True
117381,True
117491,True
117533,True
117776,True
118071,True
118313,True
118314,True
118525,True
11902,True
119424,True
119452,True
119620,True
119827,True
120443,True
120531,True
120760,True
120849,True
120958,True
121244,True
12131,True
121319,True
121537,True
121973,True
122265,True
122321,True
122652,True
122759,True
122821,True
122979,True
123524,True
123685,True
123978,True
12463,True
124961,True
12524,True
125445,True
125529,True
12642,True
126466,True
127202,True
127474,True
127856,True
127886,True
128172,True
128176,True
128903,True
12893,True
129211,True
129849,True
129991,True
130310,True
130729,True
130905,True
130950,True
131484,True
131507,True
131570,True
13161,True
131633,True
131724,True
131781,True
131973,True
132107,True
132174,True
132251,True
132341,True
132361,True
132566,True
132844,True
132919,True
132979,True
13305,True
133274,True
133309,True
133444,True
133456,True
133536,True
133696,True
133730,True
133746,True
133759,True
133789,True
134012,True
134139,True
134295,True
134385,True
134696,True
134762,True
13480,True
134848,True
135195,True
135535,True
135656,True
13579,True
135852,True
135957,True
136063,True
136721,True
136731,True
137076,True
137124,True
137248,True
137534,True
13754,True
138365,True
138464,True
138979,True
139321,True
13945,True
139889,True
139896,True
140035,True
140354,True
140427,True
140436,True
14057,True
140737,True
141153,True
141168,True
141283,True
141293,True
141507,True
141603,True
141825,True
141944,True
14200,True
142270,True
142458,True
142502,True
143425,True
143525,True
143616,True
144086,True
144152,True
144159,True
144212,True
144250,True
144308,True
14434,True
144340,True
144534,True
144559,True
144594,True
144824,True
144914,True
145567,True
145700,True
145841,True
146068,True
146075,True
146157,True
146346,True
146465,True
14650,True
146558,True
14670,True
146864,True
147184,True
14723,True
147285,True
147379,True
147859,True
148386,True
148462,True
148650,True
14869,True
148735,True
148749,True
148793,True
148958,True
149342,True
